Word1	Word2	pwMI
prohibitionist	party	8.64782265024
percent	mean	1.82909731311
fire	or	2.14305827002
passing	disabled	11.7388651036
into	there	-0.360846525936
um	anyway	0.915891928296
david	nick	9.72396208306
eighty	seven	5.38902705592
em	a	-0.467287038768
remember	who	1.41343232254
want	dessert	4.74860860311
two	together	1.90835155102
about	rom	5.64868708356
mister	wonderful	4.54894293286
have	disappear	3.27096720391
paper	unhunh	3.86270113848
a	unf	3.94672264176
guys	why	5.55884844995
hillsdale	illinois	8.69434266588
stuff	now	0.435957213727
write	my	1.69761761136
hmm	popcorn	7.96610416551
bed	so	2.8855926099
i've	have	1.6115188709
go	out	2.8062726855
machinski	yoyo	10.4861021351
some	period	2.94737907685
scoot	wow	7.05673387648
italy	have	2.42366934352
the	twin	2.4258478136
s	two	0.624106444259
echale	tantita	12.4320122842
particular	have	2.17235491524
fourth	down	3.02684553425
drop	a	1.23867244066
first	missis	5.77657193379
to	toy	3.092223845
money	to	0.5722258754
say	patty	3.55574702421
the	oven	3.11899499416
bumping	be	3.39163021
bush	x	4.8564276326
or	anything	3.5685733443
lauren	alright	4.76672756569
penetrate	stoods	12.4320122842
home	x	1.5532106593
have	say	-0.499352582143
sorry	who	2.7201090557
spoon	i	2.74023390531
toast	sure	6.02019401645
train	be	-0.134730314619
site	or	3.60939533882
traffic	yeah	2.64225349695
watch	mash	6.49184103144
choice	let	3.79685829511
real	fun	3.1869806724
kendie	mention	6.68900909635
band	every	4.76813502546
me	appreciate	2.95500920696
mean	brazilian	3.81009878198
all	different	0.964649198269
student	type	6.20547561487
zoom	through	5.74241301498
like	ninety	2.21110790154
power	gender	6.63899867578
keeps	star	9.0308149025
so	i'm	1.04064643368
lifting	pull	7.19557032133
af	uh	3.48981282943
the	brush	3.40667706661
closely	but	3.79012664879
the	race	1.48975445443
figure	she'd	5.2828806856
mcmann	tire	9.8670629267
inventorying	and	2.76995955291
myra's	your	5.8881004386
planet	you	1.72470864985
the	great	0.583316018996
a	choir	3.94672264176
code	um	3.57264883501
month	kendie	5.4038108521
afraid	too	2.8222248764
he	represent	2.70412890067
butt	fell	7.26152828912
here	what	0.586748113852
th	they'll	2.91183703509
